73 11032 46122
0 0     1.224100e+02 6.554999e+01
8 1656     -1.823800e+02 8.626001e+01
0 1657     2.000000e+02 3.121300e+02
2 1657     2.142500e+02 3.442400e+02
4 1657     2.336800e+02 3.860600e+02
6 1657     2.573300e+02 4.366000e+02
8 1657     2.880100e+02 5.046000e+02
0 1658     2.319400e+02 2.392900e+02
10 1658     1.538100e+02 1.391900e+02
30 1658     1.193600e+02 1.058100e+02
0 1659     1.451000e+02 8.926001e+01
4 1659     1.499900e+02 9.926001e+01
71 1659     -2.492400e+02 2.877300e+02
0 1660     2.334700e+02 3.248999e+01
2 1660     2.421500e+02 3.437000e+01
9 1660     3.062300e+02 5.171002e+01
72 1660     -3.205000e+02 5.272998e+01
0 1661     -1.368400e+02 1.958002e+01
9 1661     -2.388900e+02 3.914001e+01
12 1661     -3.008000e+02 5.114001e+01
14 1661     -2.673500e+02 4.410999e+01
15 1661     -3.402200e+02 5.840997e+01
18 1661     2.971600e+02 4.504999e+01
19 1661     3.309400e+02 4.303998e+01
23 1661     3.668300e+02 4.107001e+01
24 1661     2.627200e+02 4.771002e+01
25 1661     1.894800e+02 5.271002e+01
27 1661     2.279300e+02 4.946002e+01
0 1662     1.337300e+02 1.103998e+01
2 1662     1.327900e+02 1.116998e+01
3 1662     1.346400e+02 1.012000e+01
4 1662     1.339300e+02 1.209998e+01
6 1662     1.360400e+02 1.246997e+01
8 1662     1.383400e+02 1.460999e+01
9 1662     1.404700e+02 1.653003e+01
14 1662     1.437600e+02 1.662000e+01
0 1663     -5.573999e+01 -6.559998e+00
3 1663     -4.854001e+01 -7.419983e+00
5 1663     -4.195001e+01 -8.390015e+00
11 1663     -3.920999e+01 -7.469971e+00
0 1664     1.273300e+02 -1.646002e+01
2 1664     1.243300e+02 -1.702002e+01
3 1664     1.274600e+02 -1.656000e+01
4 1664     1.250600e+02 -1.696997e+01
6 1664     1.271100e+02 -1.750000e+01
8 1664     1.291400e+02 -1.678998e+01
9 1664     1.315200e+02 -1.614001e+01
14 1664     1.347500e+02 -1.725000e+01
17 1664     1.422200e+02 -1.621002e+01
38 1664     1.497200e+02 -1.564001e+01
47 1664     1.548600e+02 -1.731000e+01
56 1664     1.599600e+02 -1.703003e+01
70 1664     1.693500e+02 -1.750000e+01
0 1665     9.282001e+01 -3.512000e+01
4 1665     9.201999e+01 -3.715997e+01
6 1665     9.326001e+01 -3.856000e+01
8 1665     9.485001e+01 -3.853003e+01
9 1665     9.676999e+01 -3.876001e+01
12 1665     1.024400e+02 -4.200000e+01
14 1665     9.970001e+01 -4.085999e+01
0 1666     -2.446400e+02 -4.427002e+01
6 1666     -3.533900e+02 -5.341998e+01
0 1667     1.444300e+02 -4.738000e+01
9 1667     2.006000e+02 -6.613000e+01
15 1667     2.773800e+02 -9.107001e+01
20 1667     3.177500e+02 -1.029900e+02
49 1667     -2.850200e+02 -1.036500e+02
61 1667     -3.303400e+02 -9.906000e+01
0 1668     -1.166000e+01 4.948999e+01
2 1668     -1.678000e+01 5.023999e+01
3 1668     -7.649994e+00 4.703003e+01
4 1668     -1.970999e+01 5.223999e+01
9 1668     -2.719000e+01 5.795001e+01
14 1668     -2.914999e+01 5.920001e+01
17 1668     -3.892999e+01 6.607001e+01
20 1668     -3.616000e+01 6.414001e+01
35 1668     -4.092001e+01 6.912000e+01
38 1668     -4.610001e+01 7.282001e+01
47 1668     -4.895001e+01 7.357001e+01
56 1668     -4.992001e+01 7.675000e+01
0 1669     1.077500e+02 4.028003e+01
3 1669     1.092100e+02 3.887000e+01
5 1669     1.056800e+02 3.547998e+01
8 1669     1.084600e+02 4.395001e+01
0 1670     2.714600e+02 3.859003e+01
3 1670     2.585100e+02 3.519000e+01
6 1670     3.286500e+02 5.196997e+01
8 1670     3.563300e+02 5.998999e+01
9 1670     3.890700e+02 6.917999e+01
49 1670     -1.404200e+02 6.917999e+01
52 1670     -8.035001e+01 7.564001e+01
53 1670     -7.200012e+00 8.382999e+01
54 1670     -1.973400e+02 6.217999e+01
55 1670     3.307999e+01 8.831000e+01
58 1670     -4.520999e+01 7.960001e+01
59 1670     7.706000e+01 9.487000e+01
61 1670     -1.698100e+02 6.615997e+01
62 1670     -1.112400e+02 7.173999e+01
66 1670     1.865800e+02 1.096100e+02
67 1670     -2.228400e+02 5.970001e+01
71 1670     2.553700e+02 1.175000e+02
72 1670     -2.479900e+02 5.684003e+01
0 1671     -2.476800e+02 -4.057001e+01
6 1671     -3.879500e+02 -5.233002e+01
21 1671     1.915000e+02 -4.765997e+01
24 1671     1.642001e+01 -4.846002e+01
36 1671     3.625200e+02 -4.969000e+01
0 1672     -2.688100e+02 -2.663500e+02
6 1672     -3.275000e+02 -3.165900e+02
0 1673     -1.323999e+01 9.039001e+01
5 1673     -5.140015e+00 7.901999e+01
9 1673     -3.245999e+01 1.099900e+02
0 1674     -4.542999e+01 -4.820007e+00
2 1674     -5.367001e+01 -4.840027e+00
3 1674     -3.814999e+01 -5.700012e+00
10 1674     -2.635999e+01 -9.159973e+00
0 1675     1.321000e+02 -4.409998e+01
2 1675     1.358400e+02 -4.703998e+01
4 1675     1.423900e+02 -4.996997e+01
0 1676     1.422000e+02 -2.049988e+00
2 1676     1.421500e+02 -2.330017e+00
4 1676     1.444300e+02 -1.580017e+00
6 1676     1.479600e+02 -1.409973e+00
8 1676     1.514300e+02 2.999878e-01
9 1676     1.552400e+02 1.880005e+00
12 1676     1.635300e+02 2.179993e+00
14 1676     1.593200e+02 1.599976e+00
15 1676     1.673200e+02 2.239990e+00
20 1676     1.707400e+02 3.750000e+00
33 1676     1.858700e+02 5.469971e+00
35 1676     1.798400e+02 5.419983e+00
38 1676     1.905900e+02 7.460022e+00
47 1676     1.992500e+02 7.950012e+00
56 1676     2.084200e+02 9.590027e+00
66 1676     -3.947000e+02 1.738000e+01
69 1676     -3.478700e+02 1.831000e+01
70 1676     2.205500e+02 1.135999e+01
71 1676     -3.677100e+02 1.863000e+01
0 1677     1.197800e+02 -5.548999e+01
2 1677     1.227800e+02 -5.912000e+01
3 1677     1.171300e+02 -5.291998e+01
0 1678     9.653000e+01 5.313000e+01
2 1678     9.414001e+01 5.381000e+01
3 1678     9.938000e+01 5.231000e+01
4 1678     9.370999e+01 5.526001e+01
6 1678     9.395001e+01 5.647998e+01
8 1678     9.497000e+01 5.928003e+01
9 1678     9.528000e+01 6.210999e+01
10 1678     9.109000e+01 4.882001e+01
12 1678     9.494000e+01 6.523999e+01
13 1678     8.879999e+01 4.809998e+01
14 1678     9.482999e+01 6.302002e+01
15 1678     9.695999e+01 6.634998e+01
16 1678     8.178000e+01 4.462000e+01
17 1678     9.776001e+01 7.194000e+01
20 1678     9.725000e+01 6.935999e+01
22 1678     8.551999e+01 4.647998e+01
30 1678     7.607001e+01 4.309998e+01
33 1678     9.851001e+01 7.559998e+01
34 1678     6.903000e+01 4.153998e+01
35 1678     9.809000e+01 7.440002e+01
38 1678     9.951999e+01 7.947000e+01
39 1678     7.120999e+01 4.077002e+01
43 1678     6.694000e+01 3.978003e+01
45 1678     7.645001e+01 3.847998e+01
47 1678     1.014600e+02 8.148999e+01
56 1678     1.048700e+02 8.497000e+01
60 1678     8.209000e+01 3.820001e+01
64 1678     8.559000e+01 3.735999e+01
1 1679     8.387000e+01 4.604999e+01
5 1679     8.113000e+01 4.366998e+01
7 1679     7.901999e+01 4.307001e+01
9 1679     7.567001e+01 5.798999e+01
10 1679     7.400000e+01 4.033002e+01
11 1679     7.678000e+01 4.203003e+01
13 1679     7.245001e+01 3.987000e+01
16 1679     6.687000e+01 3.720001e+01
17 1679     7.542001e+01 6.579999e+01
20 1679     7.570001e+01 6.402002e+01
33 1679     7.550000e+01 6.822998e+01
35 1679     7.545001e+01 6.771997e+01
1 1680     9.329999e+01 3.878003e+01
6 1680     8.664001e+01 4.664001e+01
8 1680     8.700000e+01 4.928998e+01
9 1680     8.704001e+01 5.139001e+01
12 1680     8.870999e+01 5.339001e+01
14 1680     8.804999e+01 5.178003e+01
15 1680     8.907999e+01 5.423999e+01
1 1681     1.523800e+02 1.901001e+01
5 1681     1.456700e+02 1.664001e+01
7 1681     1.408900e+02 1.592999e+01
10 1681     1.292000e+02 1.363000e+01
13 1681     1.262100e+02 1.366998e+01
1 1682     -7.820999e+01 -1.096997e+01
3 1682     -8.913000e+01 -1.203003e+01
10 1682     -5.817999e+01 -1.237000e+01
11 1682     -6.214999e+01 -1.151001e+01
1 1683     -1.860400e+02 -2.934998e+01
5 1683     -1.699800e+02 -3.012000e+01
1 1684     1.342500e+02 -5.451001e+01
5 1684     1.256200e+02 -5.231000e+01
7 1684     1.179000e+02 -4.942999e+01
10 1684     1.051300e+02 -4.488000e+01
1 1685     -8.469000e+01 1.782600e+02
3 1685     -9.676999e+01 1.909400e+02
1 1686     2.155300e+02 1.737800e+02
8 1686     3.578500e+02 3.459500e+02
1 1687     2.235400e+02 1.691600e+02
11 1687     1.795900e+02 1.298700e+02
1 1688     1.087700e+02 8.123999e+01
2 1688     1.050900e+02 9.041000e+01
10 1688     9.482001e+01 6.937000e+01
35 1688     1.204500e+02 1.332500e+02
1 1689     3.393700e+02 5.306000e+01
11 1689     2.624500e+02 3.691998e+01
72 1689     -6.906000e+01 7.797000e+01
1 1690     1.558000e+02 8.619995e+00
3 1690     1.581100e+02 1.033002e+01
5 1690     1.494100e+02 6.869995e+00
7 1690     1.438000e+02 6.349976e+00
10 1690     1.331500e+02 5.000000e+00
11 1690     1.386600e+02 6.049988e+00
13 1690     1.289600e+02 4.770020e+00
22 1690     1.237600e+02 3.940002e+00
30 1690     1.113000e+02 2.479980e+00
38 1690     2.336400e+02 3.258002e+01
43 1690     9.975000e+01 6.099854e-01
1 1691     2.674800e+02 -7.630005e+00
8 1691     3.443900e+02 -1.799988e+00
1 1692     -1.338000e+01 -4.802002e+01
3 1692     -1.951001e+01 -5.159003e+01
10 1692     -6.089996e+00 -4.050000e+01
1 1693     1.380400e+02 -4.841998e+01
5 1693     1.293600e+02 -4.681000e+01
7 1693     1.216300e+02 -4.426001e+01
11 1693     1.152100e+02 -4.190002e+01
1 1694     -7.414999e+01 1.236400e+02
11 1694     -5.839001e+01 9.914999e+01
34 1694     -4.935999e+01 6.928003e+01
1 1695     1.640900e+02 1.221800e+02
5 1695     1.560800e+02 1.150300e+02
11 1695     1.439200e+02 1.046700e+02
1 1696     2.951600e+02 -6.469971e+00
11 1696     2.355300e+02 -8.130005e+00
1 1697     -5.279001e+01 -1.701001e+01
5 1697     -5.073001e+01 -1.803003e+01
10 1697     -4.514001e+01 -1.745001e+01
11 1697     -4.679001e+01 -1.665997e+01
1 1698     -1.764200e+02 -3.167999e+01
5 1698     -1.614100e+02 -3.234003e+01
11 1698     -1.366000e+02 -2.828003e+01
1 1699     -3.129999e+01 -3.795001e+01
11 1699     -2.164001e+01 -3.348999e+01
1 1700     -5.091000e+01 -4.641998e+01
5 1700     -4.587000e+01 -4.535999e+01
7 1700     -4.114999e+01 -4.179999e+01
10 1700     -3.376001e+01 -3.881000e+01
11 1700     -3.703000e+01 -3.971997e+01
13 1700     -3.035999e+01 -3.634003e+01
1 1701     -1.670000e+02 3.240800e+02
11 1701     -1.162300e+02 2.326100e+02
1 1702     -2.729600e+02 -9.328003e+01
11 1702     -1.843500e+02 -7.038000e+01
1 1703     -8.504999e+01 -2.013000e+01
10 1703     -6.644000e+01 -2.026001e+01
11 1703     -6.985001e+01 -1.988000e+01
13 1703     -6.279999e+01 -1.904999e+01
16 1703     -5.892001e+01 -1.895001e+01
22 1703     -6.063000e+01 -1.910999e+01
30 1703     -6.014999e+01 -1.946997e+01
34 1703     -6.325000e+01 -1.852002e+01
39 1703     -5.382001e+01 -1.721002e+01
43 1703     -6.132999e+01 -1.852002e+01
1 1704     -9.185001e+01 -3.263000e+01
5 1704     -8.645999e+01 -3.351001e+01
7 1704     -8.154001e+01 -3.131000e+01
10 1704     -7.262000e+01 -3.078003e+01
1 1705     1.195800e+02 -3.765997e+01
5 1705     1.128900e+02 -3.721002e+01
7 1705     1.064000e+02 -3.551001e+01
10 1705     9.634000e+01 -3.325000e+01
11 1705     1.013900e+02 -3.387000e+01
13 1705     9.206000e+01 -3.159003e+01
16 1705     8.287000e+01 -3.046002e+01
22 1705     8.751001e+01 -3.090997e+01
43 1705     6.550000e+01 -2.938000e+01
45 1705     7.389001e+01 -2.816998e+01
1 1706     1.320000e+02 1.118100e+02
5 1706     1.254400e+02 1.049600e+02
7 1706     1.208900e+02 9.984000e+01
10 1706     1.114100e+02 9.048001e+01
11 1706     1.161000e+02 9.579001e+01
13 1706     1.081900e+02 8.681000e+01
16 1706     9.917999e+01 7.923999e+01
22 1706     1.036700e+02 8.295001e+01
30 1706     9.214999e+01 7.590002e+01
34 1706     8.439001e+01 7.284998e+01
39 1706     8.504001e+01 6.882001e+01
43 1706     8.157001e+01 6.946997e+01
45 1706     8.972000e+01 6.585999e+01
60 1706     9.500000e+01 6.420001e+01
64 1706     9.769000e+01 6.221997e+01
1 1707     2.325600e+02 -3.859985e+00
5 1707     2.157800e+02 -7.320007e+00
10 1707     1.758500e+02 -8.369995e+00
1 1708     -3.548001e+01 -4.853003e+01
7 1708     -2.819000e+01 -4.402002e+01
10 1708     -2.242001e+01 -4.073999e+01
11 1708     -2.500000e+01 -4.210999e+01
13 1708     -1.923999e+01 -3.820001e+01
22 1708     -1.822000e+01 -3.708002e+01
1 1709     9.181000e+01 5.002002e+01
2 1709     8.512000e+01 5.428998e+01
10 1709     7.995001e+01 4.437000e+01
11 1709     8.279001e+01 4.672998e+01
1 1710     2.567300e+02 3.790002e+01
5 1710     2.374200e+02 3.423999e+01
11 1710     2.098400e+02 2.773999e+01
13 1710     1.841500e+02 2.270001e+01
2 1711     3.106500e+02 3.894500e+02
4 1711     3.464100e+02 4.442100e+02
6 1711     3.919600e+02 5.128500e+02
2 1712     -2.035001e+01 9.397000e+01
9 1712     -3.501001e+01 1.113300e+02
2 1713     7.451999e+01 5.234998e+01
3 1713     7.985999e+01 4.982001e+01
4 1713     7.385001e+01 5.409998e+01
9 1713     7.329001e+01 6.053003e+01
14 1713     7.373999e+01 6.123999e+01
15 1713     7.417001e+01 6.384003e+01
20 1713     7.323001e+01 6.690002e+01
35 1713     7.294000e+01 7.060999e+01
2 1714     2.850100e+02 5.033002e+01
6 1714     3.468700e+02 6.676001e+01
2 1715     1.696600e+02 2.690002e+01
4 1715     1.737400e+02 2.890997e+01
9 1715     1.904100e+02 3.687000e+01
12 1715     2.050900e+02 4.106000e+01
14 1715     1.980700e+02 3.853998e+01
35 1715     2.378100e+02 5.321002e+01
2 1716     1.993200e+02 -6.119995e+00
9 1716     2.317500e+02 -2.520020e+00
2 1717     1.300800e+02 -9.830017e+00
3 1717     1.320400e+02 -9.299988e+00
4 1717     1.309800e+02 -9.559998e+00
6 1717     1.325900e+02 -9.799988e+00
8 1717     1.349300e+02 -8.390015e+00
2 1718     1.910500e+02 -1.552002e+01
10 1718     1.486300e+02 -1.575000e+01
2 1719     2.215200e+02 3.211200e+02
4 1719     2.415000e+02 3.600000e+02
6 1719     2.666800e+02 4.069700e+02
2 1720     -1.406300e+02 2.870100e+02
8 1720     -2.075800e+02 3.929900e+02
2 1721     -4.004999e+01 1.559100e+02
4 1721     -4.545001e+01 1.652200e+02
9 1721     -6.417001e+01 1.994300e+02
12 1721     -7.703000e+01 2.258200e+02
2 1722     7.516000e+01 5.996002e+01
4 1722     7.441000e+01 6.201001e+01
10 1722     7.262000e+01 4.890002e+01
30 1722     6.064999e+01 4.383002e+01
2 1723     1.926900e+02 2.364001e+01
4 1723     1.986500e+02 2.590997e+01
6 1723     2.059600e+02 2.753998e+01
2 1724     1.432900e+02 1.652002e+01
9 1724     1.631300e+02 2.609003e+01
12 1724     1.730200e+02 2.708002e+01
14 1724     1.698900e+02 2.687000e+01
15 1724     1.844400e+02 3.115002e+01
17 1724     1.977000e+02 3.684003e+01
2 1725     2.130400e+02 2.995400e+02
6 1725     2.546800e+02 3.750500e+02
2 1726     -8.989999e+01 2.444600e+02
6 1726     -1.178800e+02 2.945900e+02
8 1726     -1.352100e+02 3.272800e+02
2 1727     2.752000e+02 2.128500e+02
6 1727     3.349900e+02 2.724600e+02
2 1728     2.334000e+02 3.472900e+02
4 1728     2.556500e+02 3.915100e+02
8 1728     3.207900e+02 5.141700e+02
2 1729     1.357500e+02 -7.849976e+00
4 1729     1.370200e+02 -7.549988e+00
6 1729     1.393700e+02 -7.760010e+00
8 1729     1.420700e+02 -6.640015e+00
9 1729     1.453700e+02 -5.869995e+00
12 1729     1.520000e+02 -6.409973e+00
14 1729     1.489900e+02 -6.650024e+00
15 1729     1.555800e+02 -7.130005e+00
17 1729     1.613100e+02 -5.729980e+00
20 1729     1.584800e+02 -6.099976e+00
33 1729     1.679200e+02 -6.090027e+00
35 1729     1.644400e+02 -5.409973e+00
56 1729     1.850900e+02 -3.650024e+00
69 1729     -3.965200e+02 3.010010e+00
70 1729     1.929000e+02 -2.210022e+00
3 1730     1.062600e+02 3.814001e+01
6 1730     1.031900e+02 4.315002e+01
8 1730     1.038800e+02 4.584003e+01
9 1730     1.049400e+02 4.796002e+01
12 1730     1.078200e+02 5.066998e+01
15 1730     1.090600e+02 5.200000e+01
17 1730     1.103400e+02 5.622998e+01
20 1730     1.098000e+02 5.446002e+01
35 1730     1.113100e+02 5.815002e+01
38 1730     1.127900e+02 6.284998e+01
47 1730     1.148800e+02 6.413000e+01
56 1730     1.180700e+02 6.696997e+01
70 1730     1.237700e+02 6.921002e+01
3 1731     -1.134100e+02 5.210999e+01
11 1731     -8.204001e+01 3.845001e+01
3 1732     -1.058800e+02 -1.583002e+01
11 1732     -7.860001e+01 -1.475000e+01
3 1733     -2.082700e+02 -3.678998e+01
6 1733     -3.678400e+02 -4.765002e+01
18 1733     7.888000e+01 -4.348999e+01
19 1733     1.214400e+02 -4.321997e+01
21 1733     2.061800e+02 -4.375000e+01
23 1733     1.645200e+02 -4.282001e+01
25 1733     -5.576999e+01 -4.325000e+01
36 1733     3.740800e+02 -4.622998e+01
37 1733     -1.550300e+02 -4.147998e+01
40 1733     -3.822900e+02 -4.195001e+01
41 1733     -3.228500e+02 -4.212000e+01
44 1733     -2.634700e+02 -4.109003e+01
51 1733     2.426600e+02 -3.839001e+01
3 1734     2.317600e+02 1.960300e+02
10 1734     1.644600e+02 1.250700e+02
16 1734     1.379400e+02 1.014900e+02
22 1734     1.463900e+02 1.087600e+02
30 1734     1.277300e+02 9.510001e+01
34 1734     1.176700e+02 8.917001e+01
3 1735     2.317600e+02 1.960300e+02
10 1735     1.644600e+02 1.250700e+02
13 1735     1.559100e+02 1.165500e+02
16 1735     1.379400e+02 1.014900e+02
22 1735     1.463900e+02 1.087600e+02
34 1735     1.176700e+02 8.917001e+01
3 1736     2.613100e+02 -7.060999e+01
8 1736     3.501100e+02 -1.004600e+02
3 1737     1.034200e+02 -4.534998e+01
5 1737     9.685001e+01 -4.309998e+01
10 1737     8.520001e+01 -3.922998e+01
13 1737     8.276001e+01 -3.814001e+01
16 1737     7.437000e+01 -3.565002e+01
22 1737     7.910999e+01 -3.759998e+01
30 1737     6.891000e+01 -3.595001e+01
39 1737     6.312000e+01 -3.315002e+01
43 1737     5.920999e+01 -3.508002e+01
45 1737     6.792999e+01 -3.328003e+01
60 1737     7.351999e+01 -3.222998e+01
64 1737     7.657001e+01 -3.156000e+01
4 1738     2.411400e+02 3.783000e+02
6 1738     2.653300e+02 4.271100e+02
4 1739     2.385900e+02 3.510700e+02
8 1739     2.945100e+02 4.577400e+02
4 1740     -1.210100e+02 3.316100e+02
6 1740     -1.383200e+02 3.665000e+02
4 1741     -1.640800e+02 3.297000e+02
6 1741     -1.863500e+02 3.645600e+02
4 1742     -1.752500e+02 3.142200e+02
6 1742     -1.985700e+02 3.480000e+02
4 1743     -1.480400e+02 3.034900e+02
6 1743     -1.681000e+02 3.351600e+02
4 1744     -1.473200e+02 2.386900e+02
6 1744     -1.669500e+02 2.633900e+02
8 1744     -1.902100e+02 2.949600e+02
4 1745     -1.493900e+02 2.367200e+02
6 1745     -1.693900e+02 2.610000e+02
8 1745     -1.929400e+02 2.927500e+02
4 1746     -5.660001e+01 1.854900e+02
9 1746     -7.860999e+01 2.231600e+02
4 1747     1.320800e+02 1.599800e+02
9 1747     1.437100e+02 1.911900e+02
12 1747     1.568900e+02 2.131300e+02
15 1747     1.633500e+02 2.253000e+02
20 1747     1.687300e+02 2.404900e+02
4 1748     1.693100e+02 1.327200e+02
9 1748     1.871800e+02 1.604400e+02
17 1748     2.327400e+02 2.167600e+02
20 1748     2.232600e+02 2.022500e+02
33 1748     2.557000e+02 2.462700e+02
35 1748     2.442300e+02 2.310700e+02
4 1749     -1.854999e+01 1.041900e+02
8 1749     -2.503000e+01 1.133500e+02
9 1749     -2.906000e+01 1.184500e+02
14 1749     -3.135001e+01 1.220200e+02
15 1749     -3.681000e+01 1.303300e+02
17 1749     -4.409000e+01 1.414000e+02
20 1749     -4.037000e+01 1.359400e+02
33 1749     -5.248999e+01 1.516800e+02
35 1749     -4.785001e+01 1.475600e+02
38 1749     -5.689001e+01 1.599900e+02
56 1749     -6.376001e+01 1.729600e+02
70 1749     -6.488000e+01 1.789900e+02
4 1750     -1.809100e+02 7.951999e+01
9 1750     -2.521000e+02 1.098200e+02
4 1751     -1.809100e+02 7.951999e+01
9 1751     -2.521000e+02 1.098200e+02
4 1752     2.412300e+02 2.420001e+01
9 1752     2.849700e+02 3.781000e+01
12 1752     3.261000e+02 4.438000e+01
14 1752     3.048600e+02 3.929999e+01
49 1752     -2.608300e+02 4.506000e+01
52 1752     -2.154600e+02 4.981000e+01
53 1752     -1.610700e+02 5.578998e+01
55 1752     -1.310300e+02 5.928998e+01
58 1752     -1.891900e+02 5.403998e+01
61 1752     -2.823800e+02 4.389001e+01
62 1752     -2.384400e+02 4.778003e+01
68 1752     -6.210999e+01 6.728003e+01
72 1752     -3.418400e+02 3.766998e+01
4 1753     -3.076300e+02 1.035999e+01
6 1753     -3.639500e+02 1.371997e+01
18 1753     6.500000e+01 1.396997e+01
24 1753     1.709000e+01 1.632001e+01
27 1753     -3.354999e+01 1.784998e+01
4 1754     -3.224900e+02 -8.140015e+00
8 1754     -3.515000e+02 -6.489990e+00
4 1755     1.120500e+02 -4.197998e+01
8 1755     1.211300e+02 -4.457001e+01
9 1755     1.255400e+02 -4.648999e+01
12 1755     1.395400e+02 -5.216998e+01
14 1755     1.332900e+02 -4.914001e+01
15 1755     1.470800e+02 -5.584998e+01
17 1755     1.653700e+02 -6.275000e+01
20 1755     1.559200e+02 -5.858002e+01
35 1755     1.773000e+02 -6.790002e+01
4 1756     -3.028100e+02 -5.133002e+01
6 1756     -3.793800e+02 -6.026001e+01
21 1756     1.986100e+02 -5.342999e+01
4 1757     1.742000e+02 -5.552002e+01
9 1757     2.197700e+02 -6.708002e+01
12 1757     2.690500e+02 -8.227002e+01
61 1757     -3.059100e+02 -9.523999e+01
4 1758     -2.631500e+02 -6.144000e+01
6 1758     -3.011000e+02 -6.698999e+01
8 1758     -3.466000e+02 -7.346997e+01
18 1758     1.414000e+02 -6.991998e+01
19 1758     1.815800e+02 -6.871002e+01
21 1758     2.621900e+02 -6.862000e+01
23 1758     2.223400e+02 -6.804999e+01
24 1758     1.010700e+02 -7.034003e+01
26 1758     3.012700e+02 -6.778003e+01
27 1758     6.003000e+01 -7.151001e+01
4 1759     2.554300e+02 -8.440997e+01
6 1759     2.922700e+02 -9.631000e+01
8 1759     3.422100e+02 -1.109100e+02
4 1760     3.215800e+02 4.497200e+02
6 1760     3.640300e+02 5.199200e+02
4 1761     2.555000e+02 3.838300e+02
6 1761     2.833300e+02 4.351700e+02
8 1761     3.185000e+02 5.044500e+02
4 1762     2.402000e+02 3.536900e+02
6 1762     2.650000e+02 3.997400e+02
8 1762     2.972400e+02 4.621600e+02
4 1763     -1.095000e+02 3.266300e+02
6 1763     -1.258100e+02 3.613000e+02
8 1763     -1.450400e+02 4.045900e+02
4 1764     2.301900e+02 3.265800e+02
6 1764     2.531500e+02 3.670800e+02
4 1765     -1.472600e+02 3.245800e+02
6 1765     -1.676800e+02 3.591900e+02
4 1766     -1.374400e+02 3.241200e+02
6 1766     -1.565600e+02 3.576900e+02
4 1767     -1.792100e+02 3.095500e+02
6 1767     -2.025400e+02 3.427700e+02
4 1768     -1.792100e+02 3.095500e+02
6 1768     -2.025400e+02 3.427700e+02
4 1769     3.414400e+02 3.070200e+02
6 1769     3.843000e+02 3.517900e+02
4 1770     3.115900e+02 3.052700e+02
8 1770     3.929000e+02 4.017800e+02
4 1771     -1.726900e+02 2.864500e+02
6 1771     -1.958700e+02 3.165800e+02
4 1772     -1.368500e+02 2.385000e+02
6 1772     -1.548000e+02 2.627600e+02
8 1772     -1.766700e+02 2.942100e+02
9 1772     -2.027200e+02 3.304600e+02
4 1773     -4.589001e+01 1.523000e+02
9 1773     -6.438000e+01 1.833700e+02
14 1773     -7.037000e+01 1.941200e+02
4 1774     -3.145600e+02 -3.222998e+01
6 1774     -3.659200e+02 -3.503003e+01
18 1774     8.048999e+01 -3.190002e+01
23 1774     1.659900e+02 -3.223999e+01
24 1774     3.791000e+01 -3.110999e+01
25 1774     -5.407999e+01 -3.015002e+01
29 1774     3.337400e+02 -3.421997e+01
37 1774     -1.536900e+02 -2.779999e+01
40 1774     -3.816300e+02 -2.688000e+01
41 1774     -3.216000e+02 -2.728998e+01
4 1775     -2.824300e+02 -8.476001e+01
6 1775     -3.240700e+02 -9.384003e+01
8 1775     -3.761900e+02 -1.040100e+02
23 1775     2.004400e+02 -9.057001e+01
4 1776     -2.551300e+02 -1.243100e+02
6 1776     -3.188300e+02 -1.481200e+02
21 1776     2.465200e+02 -1.420100e+02
26 1776     3.111000e+02 -1.369900e+02
4 1777     -2.642600e+02 -1.327500e+02
6 1777     -3.309200e+02 -1.581000e+02
4 1778     2.364700e+02 3.778600e+02
6 1778     2.599400e+02 4.269700e+02
4 1779     1.398900e+02 1.292600e+02
6 1779     1.440600e+02 1.364100e+02
9 1779     1.533900e+02 1.561000e+02
12 1779     1.665000e+02 1.741200e+02
14 1779     1.598000e+02 1.642700e+02
15 1779     1.732200e+02 1.841600e+02
17 1779     1.865900e+02 2.104000e+02
20 1779     1.798900e+02 1.972400e+02
4 1780     -2.634900e+02 -2.769000e+01
8 1780     -3.463100e+02 -3.090002e+01
27 1780     6.282999e+01 -2.939001e+01
4 1781     1.837200e+02 -5.965002e+01
6 1781     1.981600e+02 -6.475000e+01
4 1782     2.398600e+02 3.923200e+02
6 1782     2.657800e+02 4.448800e+02
4 1783     2.603200e+02 3.841700e+02
6 1783     2.887700e+02 4.366100e+02
4 1784     -1.525000e+02 3.273500e+02
6 1784     -1.740400e+02 3.633000e+02
4 1785     -1.711700e+02 3.038300e+02
6 1785     -1.937700e+02 3.357500e+02
8 1785     -2.205200e+02 3.769200e+02
4 1786     -2.369300e+02 2.602002e+01
9 1786     -3.628600e+02 4.506000e+01
18 1786     1.693300e+02 3.713000e+01
19 1786     2.108500e+02 3.522998e+01
21 1786     2.936700e+02 3.003998e+01
23 1786     2.526400e+02 3.314001e+01
24 1786     1.276600e+02 3.984003e+01
25 1786     3.816000e+01 4.498999e+01
27 1786     8.529001e+01 4.195001e+01
28 1786     3.737200e+02 2.607001e+01
31 1786     -1.010999e+01 4.809003e+01
32 1786     -1.081900e+02 5.413000e+01
37 1786     -5.826001e+01 5.226001e+01
40 1786     -2.812900e+02 6.413000e+01
41 1786     -2.224700e+02 6.059003e+01
44 1786     -1.643700e+02 5.837000e+01
48 1786     -3.915800e+02 6.745001e+01
51 1786     3.446600e+02 7.110001e+01
